run_accession	sample_accession	fastq_ftp	fastq_bytes	library_name
SRR31465483	SAMN45004381	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/083/SRR31465483/SRR31465483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/083/SRR31465483/SRR31465483_2.fastq.gz	25363790;28491002	10_S10_L001
SRR31465487	SAMN45004458	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/087/SRR31465487/SRR31465487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/087/SRR31465487/SRR31465487_2.fastq.gz	26271006;28502700	87_S87_L001
SRR31465491	SAMN45004454	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/091/SRR31465491/SRR31465491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/091/SRR31465491/SRR31465491_2.fastq.gz	36822650;39996722	83_S83_L001
SRR31465496	SAMN45004450	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/096/SRR31465496/SRR31465496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/096/SRR31465496/SRR31465496_2.fastq.gz	33583467;36019952	79_S79_L001
SRR31465499	SAMN45004447	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/099/SRR31465499/SRR31465499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/099/SRR31465499/SRR31465499_2.fastq.gz	33525287;37527702	76_S76_L001
SRR31465501	SAMN45004445	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/001/SRR31465501/SRR31465501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/001/SRR31465501/SRR31465501_2.fastq.gz	17001308;18549846	74_S74_L001
SRR31465503	SAMN45004443	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/003/SRR31465503/SRR31465503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/003/SRR31465503/SRR31465503_2.fastq.gz	33785207;38956463	72_S72_L001
SRR31465505	SAMN45004379	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/005/SRR31465505/SRR31465505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/005/SRR31465505/SRR31465505_2.fastq.gz	30696861;35523219	8_S8_L001
SRR31465506	SAMN45004441	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/006/SRR31465506/SRR31465506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/006/SRR31465506/SRR31465506_2.fastq.gz	24123694;28084760	70_S70_L001
SRR31465507	SAMN45004440	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/007/SRR31465507/SRR31465507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/007/SRR31465507/SRR31465507_2.fastq.gz	29061647;33299465	69_S69_L001
