Gene	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ZAP70	13.7051	12.8114	13.3681	3230.54	4287.54	2667.27	772.783	7380.97	1758.63	1422.38	4781.95	1772	38.0597	18.4667	25.5569	32.5204	19.1498	26.8341	24.0841	38.3204	185.485	70.0495
ZBP1	35.8487	74.5068	450.646	149.291	184.778	162.527	27.5577	71.3046	144.076	106.925	499.948	127.042	24.5424	14.8952	16.1636	22.0927	10.5463	25.5064	13.0844	28.7034	143.711	269.619
ZBTB10	152.69	99.2242	95.5604	99.8807	109.576	91.3679	83.0639	1221.65	4.2461	179.029	122.435	106.539	62.0138	65.6592	222.308	74.0349	76.5971	773.951	117.061	216.38	144.63	20.3158
ZBTB32	9.85722	193.196	12.932	27.8351	29.1325	7.7711	187.392	24.7187	112.586	29.8173	16.3476	12.3871	10.5265	10.2853	223.024	14.982	10.5671	71.9054	11.0202	8.85202	57.765	12.2763
ZFP36L2	923.603	661.882	485.645	3227.83	357.008	3731.33	366.096	641.848	2943.24	154.935	915.016	263.104	1341.52	297.482	23.5721	303.577	532.373	124.3	34.425	54.2528	311.977	517.339
ZNF135	94.2879	16.3149	11.4028	64.5605	96.2039	15.8062	3.23618	31.1691	3.22841	42.8708	151.102	79.0466	3.86006	8.51932	4.99336	39.7571	8.27953	2.42005	24.3786	14.2318	99.1001	1.9264
ZNF165	6.42155	4.43162	74.3032	3.19069	33.6712	2.72437	45.2033	6.14721	5.92545	4.89801	7.02308	4.89763	2.66873	2.37297	4.23966	6.08024	2.41511	1.83778	4.45039	3.13941	5690.38	5.35788
ZNF204P	77.8769	42.9462	41.0751	151.96	400.663	168.895	40.0906	52.229	83.7632	129.599	37.0133	32.9746	29.9097	26.8436	33.0212	27.4613	25.5539	36.1659	38.8875	25.2067	65.4878	27.4855
ZNF222	9.80066	7.20322	11.6914	71.9113	56.6425	15.0813	15.5899	182.939	10.0278	13.8433	92.2788	91.8083	19.8606	70.8249	47.0294	148.622	86.4182	39.9183	222.574	211.494	346.556	26.8256
ZNF286A	737.86	331.909	73.882	218.227	5.59882	169.313	190.875	118.138	136.869	246.504	225.408	199.3	11.0439	13.5058	36.0387	21.8756	15.0809	280.77	77.8404	25.8333	7.47317	441.313
ZNF324	28.212	23.4644	21.1733	32.0113	348.19	27.1691	24.0558	179.586	63.4655	45.385	44.9412	42.9022	28.7144	26.2033	37.883	112.914	25.2478	23.8365	30.1963	45.7752	35.2933	35.4247
ZNF442	19.7132	22.4475	19.3916	32.1103	8.98049	9.18295	3.10304	44.7006	47.3862	180.858	21.7702	40.9524	12.3002	31.3526	71.6424	36.6123	48.3033	96.0087	79.0666	3.64616	40.2965	20.1575
